UlykkeDato,FartøyNavn,AntallDød,AntallSkadet,Skadeomfang
,,1483.0,27460.0,
1988-05-20 03:00:00,KING HONG II,20.0,0.0,Fartøy sunket/total havari
2004-01-19 16:30:00,ROCKNES,18.0,0.0,Fartøy totalskadet (ikke sunket)
1999-11-26 19:00:00,SLEIPNER,16.0,22.0,Fartøy sunket/total havari
1990-06-07 13:00:00,YUGEN MARU NO.8,11.0,0.0,Fartøy sunket/total havari
1985-11-01 00:00:00,CONCEM,10.0,0.0,Fartøy sunket/total havari
1993-10-28 00:00:00,BORDANES,9.0,0.0,Fartøy sunket/total havari
2014-11-27 22:20:00,LulanYu 61809,8.0,0.0,Fartøy sunket/total havari
2007-04-12 17:05:00,BOURBON DOLPHIN,8.0,0.0,Fartøy sunket/total havari
1986-06-27 12:00:00,SYDFJORD,8.0,0.0,Fartøy sunket/total havari
