UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-10-03 10:00:00,LEGACY OF THE FJORDS,"Kontaktskade, Kaier, Broer etc",60.88666666666666,7.141833333333333,,
2024-11-26 19:15:00,ROSS EAGLE,Arbeidsulykke/Personulykke,59.599999999999994,5.199999999999999,0.0,1.0
2024-12-27 12:00:00,KJERRINGA,"Kontaktskade, Kaier, Broer etc",70.66999999999999,23.656164999999998,,
2024-10-30 13:45:00,FJORDFART,Arbeidsulykke/Personulykke,59.76666499999999,5.5,0.0,1.0
2024-12-10 10:50:00,MULTI COMMANDER,Miljøskade/Forurensing,64.616665,10.899999999999999,,
2024-06-28 02:20:00,Fritidsfartøy,Arbeidsulykke/Personulykke,59.73845,10.220849999999999,1.0,0.0
2024-12-26 17:30:00,MIDNATSOL,Arbeidsulykke/Personulykke,67.83332999999999,14.299999999999999,0.0,1.0
2024-12-31 22:30:00,LAFJORD,Hardtværskade,58.233329999999995,6.6499999999999995,,
2024-12-31 09:10:00,NOVA PIONER,Arbeidsulykke/Personulykke,66.25,12.883329999999999,0.0,1.0
2024-12-17 08:00:00,RYGERFJORD,Miljøskade/Forurensing,58.9,6.0666649999999995,,
2024-12-24 02:00:00,TENOR,Arbeidsulykke/Personulykke,59.99999999999999,3.0,0.0,1.0
2024-12-30 13:00:00,FRØY MULTI,Miljøskade/Forurensing,62.79999999999999,8.2,0.0,1.0
2024-12-29 20:50:00,GODØY,Arbeidsulykke/Personulykke,62.46666499999999,6.1499999999999995,0.0,1.0
2024-12-30 18:00:00,PELAGIA HAV,Arbeidsulykke/Personulykke,66.35,12.33333,0.0,1.0
2024-09-07 22:00:00,Fritidsfartøy,Grunnstøting,59.958479999999994,5.260129999999999,1.0,0.0
2024-12-30 15:50:00,AQS SAGA,Grunnstøting,69.948315,21.8879,,
2024-12-27 12:00:00,BEKKEBÅTEN,Arbeidsulykke/Personulykke,68.95912999999999,16.5341,0.0,1.0
2024-12-30 01:30:00,CHRISTIAN RADICH,Arbeidsulykke/Personulykke,27.001665,-16.244999999999997,0.0,1.0
2024-12-19 07:10:00,SILVER GALE,"Kontaktskade, Kaier, Broer etc",62.23561499999999,-6.799999999999999,,
2024-12-28 16:41:00,ROSS EAGLE,Arbeidsulykke/Personulykke,56.80332999999999,5.321664999999999,0.0,1.0
2024-12-28 19:00:00,KASFJORD,Miljøskade/Forurensing,69.53128,19.021065,,
2024-12-26 11:00:00,RONJA MERDØ,Grunnstøting,59.285,5.636664999999999,,
2024-12-25 08:30:00,LUCKY DUCK,Grunnstøting,70.39733,31.020329999999998,,
2024-12-21 19:00:00,OSPØY,"Kontaktskade, Kaier, Broer etc",60.03629999999999,5.34615,,
2024-12-22 19:03:00,TYRVING,"Kontaktskade, Kaier, Broer etc",61.10049999999999,5.506665,,
2024-12-21 16:45:00,BARØY,Annen ulykke,68.22766499999999,16.074665,,
2024-12-24 19:20:00,BERG,"Kontaktskade, Kaier, Broer etc",69.65183,18.962664999999998,,
2024-12-20 15:10:00,NN,Kollisjon,65.92816499999999,12.427999999999999,,
2024-12-20 15:10:00,HJELMELAND,Kollisjon,65.92816499999999,12.427999999999999,,
2024-12-20 14:20:00,UNA,"Kontaktskade, Kaier, Broer etc",64.75283,11.399999999999999,,
2024-12-20 20:10:00,PC INGEBORG 580,Grunnstøting,69.523165,17.96375,,
2024-12-20 13:52:00,TRONDENES,Feil på redningsmidler,66.20409999999998,12.967114999999998,,
2024-12-22 19:15:00,KAP FARVEL,Maskinhavari,73.84832999999999,18.095,,
2024-12-23 10:05:00,FJORDNES,Maskinhavari,59.3244,5.90775,,
2024-12-22 12:05:00,STORFJORD,Miljøskade/Forurensing,60.815549999999995,5.00463,,
2024-12-17 13:00:00,HAVDRØN,Arbeidsulykke/Personulykke,60.43346499999999,5.23715,0.0,1.0
2024-12-12 23:50:00,FANNEFJORD,Arbeidsulykke/Personulykke,68.166665,16.216665,0.0,1.0
2024-12-19 00:00:00,FLORØY,Miljøskade/Forurensing,59.733329999999995,5.449999999999999,,
2024-12-19 15:30:00,SVEALAND,Grunnstøting,61.133329999999994,4.916665,,
2024-12-17 11:50:00,FRØY FIGHTER,"Kontaktskade, Kaier, Broer etc",68.68332999999998,15.399999999999999,,
2024-12-17 05:00:00,PELAGIA HAV,Arbeidsulykke/Personulykke,59.99999999999999,5.199999999999999,0.0,1.0
2024-12-18 13:56:00,HORDAFOR VII,Maskinhavari,61.06666499999999,4.833329999999999,,
2024-12-15 06:00:00,FOSNA POWER,"Kontaktskade, Kaier, Broer etc",59.3,6.3166649999999995,,
2024-12-18 09:15:00,FJORDGLYTT,Miljøskade/Forurensing,58.96666499999999,5.73333,,
2024-12-15 05:40:00,TAUPIRI,"Kontaktskade, Kaier, Broer etc",65.13333,11.5,,
2024-12-12 15:30:00,MALENE S,Arbeidsulykke/Personulykke,57.43333,10.533329999999998,0.0,1.0
2024-12-15 22:30:00,FJORDGLIMT,Hardtværskade,58.96666499999999,5.716664999999999,,
2024-12-16 15:30:00,CHAMPION TIMUR,Miljøskade/Forurensing,60.3,25.549999999999997,0.0,1.0
2024-12-13 00:00:00,VOLLSØY,"Kontaktskade, Kaier, Broer etc",59.05,5.3999999999999995,,
