month,count
1981-01,37
1981-02,49
1981-03,23
1981-04,31
1981-05,34
1981-06,29
1981-07,23
1981-08,23
1981-09,45
1981-10,25
1981-11,31
1981-12,35
1982-01,37
1982-02,49
1982-03,37
1982-04,27
1982-05,28
1982-06,17
1982-07,22
1982-08,33
1982-09,24
1982-10,36
1982-11,36
1982-12,24
1983-01,38
1983-02,33
1983-03,43
1983-04,30
1983-05,28
1983-06,26
1983-07,21
1983-08,27
1983-09,25
1983-10,41
1983-11,55
1983-12,30
1984-01,20
1984-02,28
1984-03,26
1984-04,26
1984-05,37
1984-06,39
1984-07,31
1984-08,42
1984-09,36
1984-10,26
1984-11,31
1984-12,30
1985-01,33
1985-02,37
1985-03,35
1985-04,36
1985-05,20
1985-06,34
1985-07,25
1985-08,33
1985-09,27
1985-10,48
1985-11,31
1985-12,29
1986-01,38
1986-02,29
1986-03,38
1986-04,23
1986-05,31
1986-06,28
1986-07,29
1986-08,23
1986-09,26
1986-10,17
1986-11,28
1986-12,29
1987-01,31
1987-02,21
1987-03,37
1987-04,39
1987-05,23
1987-06,25
1987-07,29
1987-08,38
1987-09,40
1987-10,42
1987-11,37
1987-12,28
1988-01,31
1988-02,32
1988-03,26
1988-04,20
1988-05,27
1988-06,27
1988-07,17
1988-08,24
1988-09,41
1988-10,31
1988-11,49
1988-12,33
1989-01,92
1989-02,91
1989-03,95
1989-04,102
1989-05,78
1989-06,80
1989-07,89
1989-08,80
1989-09,89
1989-10,98
1989-11,107
1989-12,92
1990-01,134
1990-02,133
1990-03,135
1990-04,100
1990-05,140
1990-06,108
1990-07,87
1990-08,114
1990-09,122
1990-10,134
1990-11,144
1990-12,102
1991-01,130
1991-02,108
1991-03,149
1991-04,128
1991-05,106
1991-06,126
1991-07,133
1991-08,141
1991-09,103
1991-10,115
1991-11,107
1991-12,115
1992-01,118
1992-02,131
1992-03,121
1992-04,95
1992-05,136
1992-06,142
1992-07,131
1992-08,122
1992-09,125
1992-10,140
1992-11,98
1992-12,102
1993-01,133
1993-02,137
1993-03,153
1993-04,121
1993-05,120
1993-06,114
1993-07,123
1993-08,128
1993-09,121
1993-10,166
1993-11,124
1993-12,103
1994-01,134
1994-02,123
1994-03,157
1994-04,140
1994-05,148
1994-06,152
1994-07,156
1994-08,146
1994-09,158
1994-10,131
1994-11,117
1994-12,127
1995-01,200
1995-02,156
1995-03,170
1995-04,172
1995-05,153
1995-06,150
1995-07,160
1995-08,136
1995-09,131
1995-10,159
1995-11,133
1995-12,131
1996-01,156
1996-02,178
1996-03,152
1996-04,131
1996-05,124
1996-06,178
1996-07,144
1996-08,143
1996-09,144
1996-10,138
1996-11,120
1996-12,109
1997-01,164
1997-02,148
1997-03,161
1997-04,134
1997-05,136
1997-06,143
1997-07,128
1997-08,146
1997-09,146
1997-10,119
1997-11,157
1997-12,130
1998-01,151
1998-02,137
1998-03,142
1998-04,125
1998-05,137
1998-06,129
1998-07,146
1998-08,135
1998-09,110
1998-10,163
1998-11,142
1998-12,122
1999-01,142
1999-02,140
1999-03,163
1999-04,141
1999-05,133
1999-06,128
1999-07,156
1999-08,131
1999-09,144
1999-10,131
1999-11,141
1999-12,137
2000-01,155
2000-02,157
2000-03,161
2000-04,112
2000-05,120
2000-06,109
2000-07,100
2000-08,122
2000-09,124
2000-10,123
2000-11,114
2000-12,119
2001-01,153
2001-02,118
2001-03,134
2001-04,110
2001-05,101
2001-06,95
2001-07,109
2001-08,92
2001-09,83
2001-10,93
2001-11,130
2001-12,76
2002-01,111
2002-02,137
2002-03,127
2002-04,114
2002-05,108
2002-06,100
2002-07,119
2002-08,98
2002-09,94
2002-10,123
2002-11,101
2002-12,100
2003-01,122
2003-02,115
2003-03,125
2003-04,106
2003-05,93
2003-06,112
2003-07,108
2003-08,102
2003-09,95
2003-10,107
2003-11,104
2003-12,86
2004-01,87
2004-02,93
2004-03,100
2004-04,86
2004-05,64
2004-06,82
2004-07,98
2004-08,93
2004-09,88
2004-10,95
2004-11,81
2004-12,72
2005-01,95
2005-02,77
2005-03,74
2005-04,81
2005-05,73
2005-06,85
2005-07,55
2005-08,55
2005-09,59
2005-10,65
2005-11,76
2005-12,52
2006-01,89
2006-02,88
2006-03,84
2006-04,58
2006-05,80
2006-06,65
2006-07,62
2006-08,50
2006-09,57
2006-10,54
2006-11,71
2006-12,49
2007-01,72
2007-02,59
2007-03,61
2007-04,41
2007-05,64
2007-06,65
2007-07,53
2007-08,63
2007-09,54
2007-10,78
2007-11,79
2007-12,62
2008-01,64
2008-02,78
2008-03,67
2008-04,75
2008-05,55
2008-06,37
2008-07,53
2008-08,53
2008-09,56
2008-10,64
2008-11,57
2008-12,42
2009-01,63
2009-02,57
2009-03,61
2009-04,43
2009-05,27
2009-06,37
2009-07,61
2009-08,52
2009-09,51
2009-10,50
2009-11,59
2009-12,33
2010-01,55
2010-02,54
2010-03,58
2010-04,48
2010-05,47
2010-06,40
2010-07,36
2010-08,36
2010-09,47
2010-10,65
2010-11,51
2010-12,38
2011-01,51
2011-02,40
2011-03,67
2011-04,42
2011-05,49
2011-06,46
2011-07,41
2011-08,46
2011-09,51
2011-10,47
2011-11,67
2011-12,58
2012-01,52
2012-02,40
2012-03,60
2012-04,59
2012-05,49
2012-06,59
2012-07,48
2012-08,47
2012-09,56
2012-10,58
2012-11,73
2012-12,39
2013-01,61
2013-02,54
2013-03,64
2013-04,49
2013-05,62
2013-06,69
2013-07,63
2013-08,51
2013-09,51
2013-10,53
2013-11,73
2013-12,62
2014-01,39
2014-02,58
2014-03,60
2014-04,62
2014-05,36
2014-06,65
2014-07,56
2014-08,46
2014-09,62
2014-10,63
2014-11,63
2014-12,53
2015-01,62
2015-02,56
2015-03,67
2015-04,51
2015-05,44
2015-06,56
2015-07,56
2015-08,57
2015-09,54
2015-10,60
2015-11,48
2015-12,54
2016-01,53
2016-02,54
2016-03,39
2016-04,35
2016-05,43
2016-06,70
2016-07,57
2016-08,55
2016-09,62
2016-10,52
2016-11,58
2016-12,48
2017-01,68
2017-02,70
2017-03,59
2017-04,56
2017-05,56
2017-06,70
2017-07,52
2017-08,54
2017-09,49
2017-10,68
2017-11,49
2017-12,53
2018-01,57
2018-02,44
2018-03,60
2018-04,49
2018-05,70
2018-06,56
2018-07,62
2018-08,70
2018-09,53
2018-10,64
2018-11,54
2018-12,43
2019-01,63
2019-02,66
2019-03,66
2019-04,49
2019-05,51
2019-06,80
2019-07,75
